"brand","month","sku","product","quantity","channel"
"G2G","2026-02","G2G-102","GLAD2GLOW積雪草化妝水80ml","318","POYA"
"G2G","2026-02","G2G-131","GLAD2GLOW柔嫩淨膚精華 15ml","2","Cosmed"
"G2G","2026-02","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","1820","POYA"
"G2G","2026-02","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","69","Watsons"
"G2G","2026-02","G2G-1940","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-00","692","POYA"
"G2G","2026-02","G2G-1941","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-01","710","POYA"
"G2G","2026-02","G2G-1942","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-02","406","POYA"
"G2G","2026-02","G2G-202","GLAD2GLOW 積雪草卸妝油200ml","187","Watsons"
"G2G","2026-02","G2G-208","GLAD2GLOW 亮顏霜30ml","256","Watsons"
"G2G","2026-02","G2G-2111","GLAD2GLOW嘟嘟水潤護唇精華01草莓紅7g","10996","POYA"
"G2G","2026-02","G2G-2112","GLAD2GLOW嘟嘟水潤護唇精華02蜜桃橘7g","4738","POYA"
"G2G","2026-02","G2G-2113","GLAD2GLOW嘟嘟水潤護唇精華03葡萄紫7g","9239","POYA"
"G2G","2026-02","G2G-2114","GLAD2GLOW嘟嘟水潤護唇精華04透明色7g","6077","POYA"
"G2G","2026-02","G2G-212","GLAD2GLOW 完美VC洗面乳80g","142","Watsons"
"G2G","2026-02","G2G-214","GLAD2GLOW 完美VC精華17ml","212","Watsons"
"G2G","2026-02","G2G-215","GLAD2GLOW 完美VC保濕霜30g","185","Watsons"
"G2G","2026-02","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","2144","POYA"
"G2G","2026-02","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","5090","POYA"
"G2G","2026-02","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","2075","POYA"
"G2G","2026-02","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","3703","POYA"
"G2G","2026-02","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","667","POYA"
"G2G","2026-02","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","896","POYA"
"G2G","2026-02","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","531","POYA"
"G2G","2026-02","G2G-248","GLAD2GLOW 紅石榴透亮保濕面霜100g","271","Watsons"
"G2G","2026-02","G2G-249","GLAD2GLOW 藍莓保濕面霜100g","71","Watsons"
"G2G","2026-02","G2G-250","GLAD2GLOW 視黃醇面霜100g","89","Watsons"
"G2G","2026-02","G2G-26","GLAD2GLOW淨透377柚光精華17ml","532","POYA"
"G2G","2026-02","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","1410","POYA"
"G2G","2026-02","G2G-29","GLAD2GLOW 紅石榴透亮保溼面霜 30g","9","Cosmed"
"G2G","2026-02","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","5439","POYA"
